id,name,zone_1,zone_2
ACT,Acton Town,3,
ACY,Archway,2,3
ADE,Aldgate East,1,
AGL,Angel,1,
ALD,Aldgate,1,
ALP,Alperton,4,
ASG,Arnos Grove,4,
ASL,Arsenal,2,
BBB,Bromley-by-Bow,2,3
BBN,Barbican,1,
BDS,Bounds Green,3,4
BEC,Becontree,5,
BKE,Barkingside,4,
BKH,Buckhurst Hill,5,
BLG,Bethnal Green,2,
BMY,Bermondsey,2,
BDS,Bond Street,1,
BOR,Borough,1,
BOS,Boston Manor,4,
BSC,Barons Court,2,
BST,Baker Street,1,
BTK,Burnt Oak,4,
BTX,Brent Cross,3,
BWR,Bow Road,2,
BWT,Bayswater,1,
BZP,Belsize Park,2,
CAR,Caledonian Road,2,
CFM,Chalk Farm,2,
CGN,Covent Garden,1,
CHL,Chancery Lane,1,
CKS,Cockfosters,5,
CND,Colindale,4,
CPC,Clapham Common,2,
CPK,Canons Park,5,
CPN,Clapham North,2,
CPS,Clapham South,2,3
CSD,Colliers Wood,3,
CSM,Chesham,9,
CTN,Camden Town,2,
CWL,Chigwell,4,
CWP,Chiswick Park,3,
CXY,Croxley,7,
DBN,Debden,6,
DGE,Dagenham East,5,
DGY,Dagenham Heathway,5,
DOH,Dollis Hill,3,
EAE,Eastcote,5,
EAN,East Acton,2,
ECM,Ealing Common,3,
ECT,Earl's Court,1,2
EFY,East Finchley,3,
EGW,Edgware,5,
EHM,East Ham,3,4
EMB,Embankment,1,
EPG,Epping,6,
EPK,Elm Park,6,
EPY,East Putney,2,3
ERB,Edgware Road,1,
ERC,Edgware Road,1,
ESQ,Euston Square,1,
FBY,Fulham Broadway,2,
FLP,Fairlop,4,
FYC,Finchley Central,4,
FYR,Finchley Road,2,
GDG,Goodge Street,1,
GGH,Grange Hill,4,
GGN,Golders Green,3,
GHK,Goldhawk Road,2,
GPK,Green Park,1,
GPS,Great Portland Street,1,
GTH,Gants Hill,4,
GTR,Gloucester Road,1,
HBN,Holborn,1,
HBT,High Barnet,5,
HCH,Hornchurch,6,
HCL,Hendon Central,3,4
HGD,Hillingdon,6,
HGR,Hanger Lane,3,
HGT,Highgate,3,
HLT,Hainault,4,
HNX,Hatton Cross,5,6
HPC,Hyde Park Corner,1,
HPK,Holland Park,2,
HSK,High Street Kensington,1,
HTD,Hampstead,2,3
HWC,Hounslow Central,4,
HWE,Hounslow East,4,
HWT,Hounslow West,5,
HWY,Holloway Road,2,
ICK,Ickenham,6,
KBN,Kilburn,2,
KBY,Kingsbury,4,
KNB,Knightsbridge,1,
KNG,Kennington,1,2
KPK,Kilburn Park,2,
LAD,Ladbroke Grove,2,
LBN,Lambeth North,1,
LGN,Loughton,6,
LGT,Lancaster Gate,1,
LRD,Latimer Road,2,
LSQ,Leicester Square,1,
LYN,Leyton,3,
LYS,Leytonstone,3,4
MBA,Marble Arch,1,
MDN,Morden,4,
MED,Mile End,2,
MHL,Mill Hill East,4,
MMT,Monument,1,
MPK,Moor Park,6,7
MRH,Manor House,2,3
MSH,Mansion House,1,
MTC,Mornington Crescent,2,
MVL,Maida Vale,2,
NAN,North Acton,2,3
NBP,Newbury Park,4,
NDN,Neasden,3,
NEN,North Ealing,3,
NFD,Northfields,3,
NGW,North Greenwich,2,3
NHA,North Harrow,5,
NHG,Notting Hill Gate,1,2
NHT,Northolt,5,
NKP,Northwick Park,4,
NOW,Northwood,6,
NWH,Northwood Hills,6,
OAK,Oakwood,5,
OSY,Osterley,4,
OVL,Oval,2,
OXC,Oxford Circus,1,
PCC,Piccadilly Circus,1,
PCO,Pimlico,1,
PKR,Park Royal,3,
PLW,Plaistow,3,
PNR,Pinner,5,
PRD,Preston Road,4,
PSG,Parsons Green,2,
PVL,Perivale,4,
PYB,Putney Bridge,2,
QBY,Queensbury,4,
QWY,Queensway,1,
RBG,Redbridge,4,
RGP,Regent's Park,1,
RSG,Ruislip Gardens,5,
RSM,Ruislip Manor,6,
RSP,Ruislip,6,
RSQ,Russell Square,1,
RVP,Ravenscourt Park,2,
RVY,Roding Valley,4,
RYL,Rayners Lane,5,
RYO,Royal Oak,2,
SBM,Shepherd's Bush Market,2,
SEA,South Ealing,3,
SFB,Stamford Brook,2,
SFS,Southfields,3,
SGN,Stepney Green,2,
SGT,Southgate,4,
SHH,South Harrow,5,
SJP,St James's Park,1,
SJW,St John's Wood,2,
SKS,South Kensington,1,
SKW,Stockwell,2,
SNB,Snaresbrook,4,
SPU,St Paul's,1,
SSQ,Sloane Square,1,
STM,Stanmore,5,
SUH,Sudbury Hill,4,
SUT,Sudbury Town,4,
SWC,Swiss Cottage,2,
SWF,South Woodford,4,
SWK,Southwark,1,
SWN,South Wimbledon,3,4
TAW,Totteridge & Whetstone,4,
TBC,Tooting Bec,3,
TBY,Tooting Broadway,3,
TFP,Tufnell Park,2,
THB,Theydon Bois,6,
TMP,Temple,1,
TNG,Turnham Green,2,3
TPN,Turnpike Lane,3,
TWH,Tower Hill,1,
UPB,Upminster Bridge,6,
UPK,Upton Park,3,
UPY,Upney,4,
UXB,Uxbridge,6,
WAF,Watford,7,
WCY,White City,2,
WFN,West Finchley,4,
WHP,West Hampstead,2,
WHW,West Harrow,5,
WIG,Willesden Green,2,3
WIP,Wimbledon Park,3,
WKA,Warwick Avenue,2,
WKN,West Kensington,2,
WLA,Wood Lane,2,
WOF,Woodford,4,
WOG,Wood Green,3,
WOP,Woodside Park,4,
WRR,Warren Street,1,
WSD,Wanstead,4,
WSP,Westbourne Park,2,
WTA,West Acton,3,
WYP,Wembley Park,4,
